street,city,state,zip_code,full,page,confidence
32 742 Evergreen Terrace,Springfield,IL,62704,"32 742 Evergreen Terrace, Springfield, IL, 62704",1,high
15 1600 Pennsylvania Avenue,Washington,DC,20500,"15 1600 Pennsylvania Avenue, Washington, DC, 20500",1,high
47 221B Baker Street,London,CA,90210,"47 221B Baker Street, London, CA, 90210",1,high
05 4 Privet Drive,Little Whinging,CA,94102,"05 4 Privet Drive, Little Whinging, CA, 94102",1,high
22 1 Infinite Loop,Cupertino,CA,95014,"22 1 Infinite Loop, Cupertino, CA, 95014",1,high
350 Fifth Avenue,New York,NY,10118,"350 Fifth Avenue, New York, NY, 10118",2,high
1000 Colonial Farm Road,Mclean,VA,22101,"1000 Colonial Farm Road, Mclean, VA, 22101",2,high
1 Microsoft Way,Redmond,WA,98052,"1 Microsoft Way, Redmond, WA, 98052",2,high
1600 Amphitheatre Pkwy,Mountain View,CA,94043,"1600 Amphitheatre Pkwy, Mountain View, CA, 94043",2,high
410 Terry Avenue,North,SE,,"410 Terry Avenue, North, SE",2,medium
